Date,price,addressline1,addressline2,po,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType
Mar-22,399900,79 Collingwood Court,"Dartmouth, Nova Scotia B2W0G4",B2W0G4,3,3,3,Single Family,Row / Townhouse,2,Dartmouth,Freehold,under 1/2 acre,2010,Garage,1 day,"Jun 30, 2017 Sold $269,900",1815,"Stove, Dishwasher, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,
Mar-22,329900,301 89 Pebblecreek Crescent,"Dartmouth, Nova Scotia B2W0K6",B2W0K6,2,2,1,Single Family,Apartment,1,Dartmouth,Condominium/Strata,under 1/2 acre,2012,"Garage, Underground",2 days,,986,Intercom,Poured Concrete,,,Full
Mar-22,165000,25 Sunset Drive,"Kingston, Nova Scotia B0P1R0",B0P1R0,3,4,2,Single Family,House,2,Kingston,Freehold,under 1/2 acre,1995,,3 days,"Sep 13, 2013 Sold $112,100",1400,"Stove, Dryer, Washer, Microwave, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,3 Level,Full (Partially finished)
Mar-22,339000,31 Panorama Lane,"Bedford, Nova Scotia B4A1P3",B4A1P3,3,3,2,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1980,,3 days,,1470,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,
Mar-22,750000,52 Highway 14,"Robinsons Corner, Nova Scotia B0J1J0",B0J1J0,3,4,3,Single Family,House,2,Robinsons Corner,Freehold,under 1/2 acre,2020,"Garage, Detached Garage",3 days,,3120,"Cooktop - Electric, Oven, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Water softener",Poured Concrete,Detached,,
Mar-22,214500,335 Macdonald Street,"New Glasgow, Nova Scotia B2H2V2",B2H2V2,3,3,2,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,3 days,,1199,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator","Poured Concrete, Stone, Wood",Detached,,Partial
Mar-22,290000,88 Poplar Street,"Stellarton, Nova Scotia B2H4H1",B2H4H1,3,5,2,Single Family,House,1,Stellarton,Freehold,1/2 - 1 acre,1986,,3 days,"Jun 24, 2010 Sold $159,900",1521,"Cooktop, Oven, Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,59900,3495 Clam Harbour Road,"Clam Harbour, Nova Scotia B0J2L0",B0J2L0,3,3,1,Single Family,House,2,Clam Harbour,Freehold,1 - 3 acres,,"Garage, Detached Garage, Gravel",4 days,,1568,None,"Poured Concrete, Stone",Detached,,Crawl space
Mar-22,434900,1110 60 Walter Havill Drive,"Armdale, Nova Scotia B3N0A9",B3N0A9,2,2,2,Single Family,Apartment,1,Armdale,Condominium/Strata,under 1/2 acre,,"Garage, Underground, Parking Space(s)",4 days,,1326,"Stove, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None
Mar-22,450000,136 Silver Point Road,"Martins River, Nova Scotia B0J2E0",B0J2E0,3,3,1,Single Family,House,2,Martins River,Freehold,1/2 - 1 acre,1962,"Garage, Attached Garage, Detached Garage, Gravel",4 days,,1640,"Oven - Electric, Range - Electric, Dryer - Electric, Washer, Refrigerator",Stone,Detached,,Crawl space
Mar-22,419900,45 Lovat Crescent,"New Glasgow, Nova Scotia B2H0B1",B2H0B1,2,3,3,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,2007,,5 days,"Aug 15, 2012 Sold $276,000",2700,"Range - Electric, Dishwasher, Dryer, Washer, Garburator, Refrigerator",Poured Concrete,Detached,Character,
Mar-22,775000,38 Soaring Way,"Hammonds Plains, Nova Scotia B3Z0S4",B3Z0S4,3,4,4,Single Family,House,2,Hammonds Plains,Freehold,1/2 - 1 acre,,"Garage, Attached Garage",7 days,"Mar 18, 2021 Sold $536,158",2900,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,819900,231 Southgate Drive,"Bedford, Nova Scotia B4A4L2",B4A4L2,4,4,4,Single Family,House,2,Bedford,Freehold,under 1/2 acre,2005,"Garage, Attached Garage",7 days,"Jun 28, 2007 Sold $395,000",3116,"Oven - Electric, Range - Electric, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,
Mar-22,345000,50 West Porters Lake Road,"Porters Lake, Nova Scotia B3R1K2",B3R1K2,3,3,1,Single Family,House,1,Porters Lake,Freehold,under 1/2 acre,1982,Gravel,7 days,"Jun 15, 2010 Sold $169,000",1653,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,279900,41 Peter Court,"Eastern Passage, Nova Scotia B3G1S9",B3G1S9,0,3,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,2002,,7 days,,1440,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,
Mar-22,329900,1437 10 Highway,"Cookville, Nova Scotia B4V7R5",B4V7R5,2,2,1,Single Family,House,1,Cookville,Freehold,1 - 3 acres,2002,Gravel,7 days,"Jul 17, 2005 Sold $110,000",1060,"Stove, Dryer, Washer, Refrigerator",,Detached,,None
Mar-22,279000,5 Parkstone Terrace,"Dartmouth, Nova Scotia B3A1T3",B3A1T3,2,2,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,,,7 days,,815,"Stove, Refrigerator",Concrete Block,Detached,Character,Full (Unfinished)
Mar-22,185000,9273 Highway 10,"Nictaux, Nova Scotia B0S1P0",B0S1P0,2,2,1,Single Family,House,2,Nictaux,Freehold,under 1/2 acre,1932,Gravel,7 days,"Aug 31, 2011 Sold $73,500",920,"Range - Electric, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,5 Level,
Mar-22,139900,1046 Evanston Road,"Cleveland, Nova Scotia B0E1J0",B0E1J0,2,2,1,Single Family,Mobile Home,1,Cleveland,Freehold,under 1/2 acre,,,7 days,"Mar 29, 2019 Sold $60,000",704,"Stove, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,,,None
Mar-22,299900,506 Martin Avenue,"New Glasgow, Nova Scotia B2H1R9",B2H1R9,3,3,2,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,1971,,7 days,"Apr 19, 2016 Sold $104,900",1483,,Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,489900,24 Trout Run,"Spryfield, Nova Scotia B3R0C4",B3R0C4,3,4,4,Single Family,House,2,Spryfield,Freehold,under 1/2 acre,2018,,7 days,"Jan 29, 2018 Sold $284,900",2261,"Oven - Electric, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,3 Level,Full (Finished)
Mar-22,425000,398 Crown Drive,"Halifax, Nova Scotia B3N0B7",B3N0B7,3,4,3,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1993,Gravel,7 days,"Jun 1, 2017 Sold $284,000",2000,"Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished)
Mar-22,549900,582A Herring Cove Road,"Halifax, Nova Scotia B3R1X6",B3R1X6,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,,,7 days,,2204,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished)
Mar-22,279900,86 Skyridge Avenue,"Lower Sackville, Nova Scotia B4C1R2",B4C1R2,3,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,,,7 days,,1048,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,359900,489 Little Harbour Road,"Little Harbour, Nova Scotia B0J2L0",B0J2L0,2,3,2,Single Family,House,1,Little Harbour,Freehold,1/2 - 1 acre,1983,"Garage, Gravel",7 days,"Apr 18, 2007 Sold $79,900",2460,Central Vacuum,Poured Concrete,Detached,Character,
Mar-22,525000,45 Cortland Crescent,"Kentville, Nova Scotia B4N4X4",B4N4X4,2,4,4,Single Family,House,2,Kentville,Freehold,1 - 3 acres,1990,"Garage, Attached Garage",7 days,"Jul 11, 2008 Sold $299,000",3681,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Freezer - Chest, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,3 Level,Full (Finished)
Mar-22,349900,32 Hayden Drive Drive,"Berwick, Nova Scotia B0P1E0",B0P1E0,4,4,3,Single Family,House,2,Berwick,Freehold,under 1/2 acre,,"Garage, Attached Garage",7 days,"Feb 20, 2002 Sold $100,000",1934,,Poured Concrete,Detached,4 Level,
Mar-22,375000,307 5959 Spring Garden Road,"Halifax, Nova Scotia B3H1Y5",B3H1Y5,3,3,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,,"Garage, Underground",8 days,"Jan 20, 2017 Sold $208,000",1300,"Stove, Dishwasher, Refrigerator",Poured Concrete,,,None
Mar-22,595000,4 Pine Grove Lane,"Waverley, Nova Scotia B2R1P9",B2R1P9,3,3,2,Single Family,House,2,Waverley,Freehold,1/2 - 1 acre,1999,"Garage, Gravel",8 days,,1741,"Oven, Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished)
Mar-22,374900,11 Rogers Road,"Nictaux, Nova Scotia B0S1P0",B0S1P0,3,4,2,Single Family,House,1,Nictaux,Freehold,under 1/2 acre,1993,"Garage, Detached Garage",8 days,"Apr 30, 2004 Sold $141,500",2400,"Dishwasher, Microwave Range Hood Combo, Water softener",Poured Concrete,Detached,,
Mar-22,249900,8 Valkyrie Crescent,"Dartmouth, Nova Scotia B2W5B6",B2W5B6,3,3,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1983,,8 days,"Oct 22, 2015 Sold $165,000",1794,"Oven, Range, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished)
